关键词,拆成关键词的关键句,来源句数量
老坛酸菜面咋了,,0
老坛酸菜,老坛酸菜面咋了,1
足痰酸菜,,0
这一脚，踢出了整个盛夏,,0
森死皮挠,,0
代言人体验卡,,0
代言人,代言人体验卡,1
体验,代言人体验卡,1
梅琳娜你退群吧,,0
梅琳娜,梅琳娜你退群吧,1
退群,梅琳娜你退群吧,1
690战术核显卡,,0
营销号混合症,,0
营销号,营销号混合症,1
混合,营销号混合症,1
植树节段子大赏,,0
植树节,植树节段子大赏,1
B站赌场,,0
疯狂星期四文学,,0
疯狂星期四,疯狂星期四文学,1
文学,疯狂星期四文学,1
苹果猫,,0
完了，芭比Q了,,0
世界上有五种辣,,0
世界上,世界上有五种辣,1
五种,世界上有五种辣,1
讨好型人格,,0
喜欢萨莉亚的女朋友,,0
莉亚,喜欢萨莉亚的女朋友,1
女朋友,喜欢萨莉亚的女朋友,1
奶奶把我锁在家里,,0
奶奶,奶奶把我锁在家里；梁志超他奶奶,2
锁在,奶奶把我锁在家里,1
家里,奶奶把我锁在家里,1
卑鄙的外乡人,,0
外乡人,卑鄙的外乡人,1
大的要来了,,0
Speed大战Ben,,0
TES48,,0
八音盒、嗨害嗨,,0
反思怪,,0
宫崎英高跌上/下神坛,,0
下神,宫崎英高跌上/下神坛,1
这是可以说的吗、羊胎素,,0
可以说,这是可以说的吗、羊胎素,1
羊胎素,这是可以说的吗、羊胎素,1
二极管,,0
这里是缅甸北部,,0
缅甸北,这里是缅甸北部,1
玉玉症,,0
二次元之日,,0
成龙劝游,,0
范马孔子,,0
timing侠,,0
冬奥会段子大赏,,0
冬奥会,冬奥会段子大赏,1
成龙劝游记,,0
风灵月影宗,,0
XR改的,,0
你充Q币吗,,0
†升天†,,0
勇敢勇敢我的朋友！xx跑男,,0
勇敢,勇敢勇敢我的朋友！xx跑男；勇敢牛牛不怕困难,2
朋友,勇敢勇敢我的朋友！xx跑男,1
跑男,勇敢勇敢我的朋友！xx跑男,1
颜文字是由什么组成的,,0
文字,颜文字是由什么组成的,1
组成,颜文字是由什么组成的,1
麦地教父,,0
宇宙国,,0
后室是什么？外网盛传多年的恐怖故事,,0
后室,后室是什么？外网盛传多年的恐怖故事,1
盛传,后室是什么？外网盛传多年的恐怖故事,1
多年,后室是什么？外网盛传多年的恐怖故事,1
恐怖故事,后室是什么？外网盛传多年的恐怖故事,1
美式霸凌,,0
超能先生逐渐XX,,0
超能,超能先生逐渐XX,1
先生,超能先生逐渐XX,1
逐渐,超能先生逐渐XX,1
谢谢猎豹,,0
冰墩墩,,0
葬天帝,,0
我能受这委屈吗,,0
铁憨憨,,0
谁有赵本山电话,,0
赵本山,谁有赵本山电话,1
电话,谁有赵本山电话,1
脸都不要了,,0
芭比Q,,0
炫沙糖桔,,0
XX波比,,0
妹说就是零卡,,0
零卡,妹说就是零卡,1
摇摆联盟,,0
总有一天，全xx的人都要高看我们,,0
总有一天,总有一天，全xx的人都要高看我们,1
要高,总有一天，全xx的人都要高看我们,1
看我们,总有一天，全xx的人都要高看我们,1
人类的悲欢并不相通,,0
人类,人类的悲欢并不相通；人类还有希望吗,2
悲欢,人类的悲欢并不相通,1
并不相通,人类的悲欢并不相通,1
卡农后遗症,,0
fake run！跑男,,0
金钱豹,,0
快住手，这根本就不是二创,,0
住手,快住手，这根本就不是二创,1
二创,快住手，这根本就不是二创,1
麦乐鸡侠,,0
寄！GG,,0
微软收购动视暴雪,,0
微软收购,微软收购动视暴雪,1
动视暴雪,微软收购动视暴雪,1
emotional damage,,0
谁才是真正的英雄,,0
弹幕下围棋,,0
我在大润发杀了十年的鱼,,0
大润发,我在大润发杀了十年的鱼,1
十年,我在大润发杀了十年的鱼,1
文化拱火,,0
老师，菜菜，捞捞,,0
老师,x老师退出文坛；老师，菜菜，捞捞,2
菜菜,老师，菜菜，捞捞,1
捞捞,老师，菜菜，捞捞,1
幻塔,,0
道理哥是谁？莫非这就是2022年的第一个梗,,0
道理,道理哥是谁？莫非这就是2022年的第一个梗,1
莫非,道理哥是谁？莫非这就是2022年的第一个梗,1
道理哥,,0
穿山甲联盟,,0
剑魔区up主,,0
2021年热门梗盘点,,0
我与曹贼何异,,0
曹贼,我与曹贼何异,1
的地得警察,,0
我用xx摆烂我的AE作业,,0
摆烂,我用xx摆烂我的AE作业,1
AE,我用xx摆烂我的AE作业,1
作业,我用xx摆烂我的AE作业,1
防止小孩误食,,0
误食,防止小孩误食,1
X女士说得对,,0
AEBD,,0
xx咬人事件,,0
你发癫人家问地你答天,,0
发癫,你发癫人家问地你答天,1
人家,你发癫人家问地你答天,1
救救孩子,,0
已经在谷底了,,0
已经在,已经在谷底了,1
谷底,已经在谷底了,1
俺の愛馬が,,0
钝角,,0
abandon,,0
假面骑士的圣诞节,,0
假面骑士,假面骑士的圣诞节；假面骑士的末日到了；谁不想当假面骑士呢？我只是一个路过的假面骑士,3
圣诞节,假面骑士的圣诞节,1
padoru,,0
半场开香槟,,0
一薇,,0
专业配音员,,0
怀民亦未寝,,0
我怕E宝误会,,0
虚空索敌,,0
不可以色色,,0
去码头整点薯条,,0
去码头,去码头整点薯条,1
整点薯条,去码头整点薯条,1
啊怎么会呢,,0
十年老粉,,0
扣1送xx,,0
你爹来啰,,0
如果xx的话,,0
自罚两杯,,0
绿头鱼,,0
群青meme,,0
空条徐伦的律师,,0
空条徐伦,空条徐伦的律师,1
律师,空条徐伦的律师,1
Google Ngram,,0
你叉叉,,0
你怎么睡得着的,,0
睡得,你怎么睡得着的,1
动物园怪谈,,0
抛开事实不谈,,0
我将以高达形态出击,,0
将以,我将以高达形态出击,1
高达,我将以高达形态出击,1
出击,我将以高达形态出击,1
2021热梗年度总结,,0
催逝员,,0
一定是XX的阴谋,,0
一定,一定是XX的阴谋；如果奇迹有颜色，那一定是橙色,2
阴谋,一定是XX的阴谋,1
破防,,0
女强人制造机,,0
女强人,女强人制造机,1
制造机,女强人制造机,1
乳法,,0
水母迷因,,0
狗卡,,0
这不比忍术好用,,0
忍术,这不比忍术好用,1
好用,这不比忍术好用,1
火影手游2000,,0
自爆卡车,,0
炸锅文学,,0
寄！寄了！GG,,0
高级特工、催逝员,,0
高级特工,高级特工、催逝员,1
警惕拜登打xx牌,,0
警惕拜登打,警惕拜登打xx牌,1
快进到XX,,0
年轻人不要太气盛,,0
年轻人,年轻人不要太气盛；年轻人不讲武德,2
气盛,年轻人不要太气盛,1
现代成语大会,,0
现代,现代成语大会,1
大会,现代成语大会,1
什么是NFT？资本骗局还是真正的新概念服务,,0
NFT,什么是NFT？资本骗局还是真正的新概念服务,1
资本,什么是NFT？资本骗局还是真正的新概念服务,1
骗局,什么是NFT？资本骗局还是真正的新概念服务,1
真正,什么是NFT？资本骗局还是真正的新概念服务,1
新概念,什么是NFT？资本骗局还是真正的新概念服务,1
服务,什么是NFT？资本骗局还是真正的新概念服务,1
口口文学,,0
希望人没事,,0
万宁棋,,0
南极贱畜,,0
她逃他追他们插翅难飞,,0
插翅难飞,她逃他追他们插翅难飞,1
Khan定律,,0
阿瑟文学,,0
魔怔人,,0
EDG夺冠我就xx,,0
意法战争,,0
世界聚焦于你,,0
聚焦,世界聚焦于你,1
如果EDG夺冠我就xx,,0
EDG,如果EDG夺冠我就xx,1
夺冠,如果EDG夺冠我就xx,1
"我看不懂,但我大受震撼",,0
看不懂,"我看不懂,但我大受震撼；我看不懂，但我大受震撼",2
大受震撼,"我看不懂,但我大受震撼；我看不懂，但我大受震撼",2
炮形态波比,,0
EMO,,0
行走的50万,,0
翔磨杵,,0
7777777,,0
学霸题,,0
优势在我,,0
Vtuber一问一答,,0
流泪猫猫头,,0
豆瓣评分,,0
Vtuber一问一答自我介绍,,0
Vtuber,Vtuber一问一答自我介绍,1
一问一答,Vtuber一问一答自我介绍,1
自我介绍,Vtuber一问一答自我介绍,1
中国人不骗中国人,,0
波澜哥,,0
恶霸马奎尔,,0
TheShy来了全杀了,,0
菠萝披萨,,0
朝阳群众,,0
哥谭噩梦,,0
演的吧,,0
青春疼痛文学,,0
不ban猛犸,,0
金坷垃,,0
为什么不ban猛犸,,0
ban,为什么不ban猛犸,1
猛犸,为什么不ban猛犸,1
大数据请记住我,,0
大数据,大数据请记住我,1
请记住,大数据请记住我,1
我的护球像亨利,,0
护球,我的护球像亨利,1
亨利,我的护球像亨利,1
唐可可是谁？日本动漫里可算有了对味的中国人,,0
唐可可,唐可可是谁？日本动漫里可算有了对味的中国人,1
日本动漫,唐可可是谁？日本动漫里可算有了对味的中国人,1
对味,唐可可是谁？日本动漫里可算有了对味的中国人,1
英雄联盟设计师,,0
设计师,英雄联盟设计师,1
当代语言艺术家,,0
当代,当代语言艺术家,1
语言艺术,当代语言艺术家,1
哥谭再次陷入尴尬,,0
哥谭,哥谭再次陷入尴尬,1
尴尬,哥谭再次陷入尴尬,1
助力每一个梦想,,0
助力,助力每一个梦想,1
梦想,助力每一个梦想,1
水洗蛋蛋,,0
x老师退出文坛,,0
退出,x老师退出文坛,1
文坛,x老师退出文坛,1
"糟了,我成替身了",,0
替身,"糟了,我成替身了",1
双枪会给出答案,,0
双枪,双枪会给出答案,1
会给出,双枪会给出答案,1
答案,双枪会给出答案,1
双标美羊羊,,0
xx诱捕器,,0
老子打的就是精锐,,0
打的就是精锐,老子打的就是精锐,1
凯申物流,,0
健达奇趣蛋,,0
东风快递，使命必达,,0
东风,东风快递，使命必达,1
快递,东风快递，使命必达,1
使命,东风快递，使命必达,1
必达,东风快递，使命必达,1
阿姨停电了,,0
已婚,,0
三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流,,0
三角符文,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流,1
马里奥,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流,1
阵容,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流,1
盗窃,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流,1
潮流,三角符文梗？马里奥电影配音阵容？外国小孩竟拿盗窃当潮流,1
拜登拉稀,,0
晒足180天,,0
YEE是什么,,0
佛媛,,0
922768,,0
穷哈,,0
RNM退钱,,0
干净又卫生,,0
Ngana Rindu零元购,,0
超市0元购？Ngana Rindu是什么,,0
超市,超市0元购？Ngana Rindu是什么,1
Ngana Rindu,超市0元购？Ngana Rindu是什么,1
社交牛杂症,,0
身高185,,0
青莲地心火,,0
互联网北方女仆,,0
北方,互联网北方女仆,1
女仆,互联网北方女仆,1
违背祖宗的决定,,0
违背,违背祖宗的决定,1
祖宗,违背祖宗的决定,1
决定,违背祖宗的决定,1
傻宝,,0
黑人小哥跳舞,,0
黑人,反戏精黑人小哥；黑人小哥跳舞,2
甲壳虫汁是谁,,0
甲壳,甲壳虫汁是谁,1
xx要开始加速了,,0
要开始,xx要开始加速了,1
加速,xx要开始加速了,1
x分钟,,0
专抓粉丝,,0
偷吃贡品、啊对对对,,0
偷吃,偷吃贡品、啊对对对,1
贡品,偷吃贡品、啊对对对,1
对对对,偷吃贡品、啊对对对,1
半括号,,0
早知道还是原道,,0
早知道,早知道还是原道,1
原道,早知道还是原道,1
西厂正规军,,0
既见未来，为何不buy,,0
既见未来,既见未来，为何不buy,1
buy,既见未来，为何不buy,1
人不行，别怪路不平,,0
人不行,人不行，别怪路不平,1
别怪,人不行，别怪路不平,1
路不平,人不行，别怪路不平,1
810975,,0
人生重开模拟器,,0
重开,人生重开模拟器,1
别再给我发XX了,,0
社交牛逼症,,0
几个通辽,,0
学姐好,,0
黑龙江军阀张美玉,,0
黑龙江,黑龙江军阀张美玉,1
军阀,黑龙江军阀张美玉,1
美玉,黑龙江军阀张美玉,1
shot on iphone,,0
你的牛牛是谁？开学第一天会遇到什么样的新室友,,0
牛牛,你的牛牛是谁？开学第一天会遇到什么样的新室友；勇敢牛牛不怕困难,2
第一天,你的牛牛是谁？开学第一天会遇到什么样的新室友,1
会遇到什么,你的牛牛是谁？开学第一天会遇到什么样的新室友,1
室友,你的牛牛是谁？开学第一天会遇到什么样的新室友,1
近期私信解答第二期,,0
私信,近期私信解答第二期；近期私信解答，百梗交集，你想知道的梗都在这,2
解答,近期私信解答第二期；近期私信解答，百梗交集，你想知道的梗都在这,2
第二期,空耳梗合集第二期；近期私信解答第二期,2
亮剑里都有,,0
吃个桃桃,,0
空耳梗合集第三期,,0
空耳,空耳梗合集第一期；空耳梗合集第三期；空耳梗合集第二期,3
第三期,空耳梗合集第三期,1
337845818,,0
容嬷嬷扎的对,,0
容嬷嬷,容嬷嬷扎的对,1
带善人真理圣主,,0
善人,带善人真理圣主,1
真理,带善人真理圣主,1
圣主,带善人真理圣主,1
空耳梗合集第二期,,0
jack-O蹲姿,,0
郑女士,,0
原作:石森章太郎,,0
原作,原作:石森章太郎,1
石森章太郎,原作:石森章太郎,1
Directed by Robert b weide,,0
我免费了,,0
空耳梗合集第一期,,0
大人，时代变了,,0
时代,大人时代变了；大人，时代变了,2
管理学,,0
个人感觉没原神好··画质,,0
感觉,个人感觉没原神好··画质,1
画质,个人感觉没原神好··画质,1
Get Down舞,,0
康熙怒斥群臣,,0
康熙,康熙怒斥群臣,1
怒斥,康熙怒斥群臣,1
群臣,康熙怒斥群臣,1
暮光闪闪×摩迪凯组cp,,0
暮光,暮光闪闪×摩迪凯组cp,1
闪闪,暮光闪闪×摩迪凯组cp,1
cp,暮光闪闪×摩迪凯组cp,1
yee,,0
你那是馋她的身子,,0
馋她的身子,你那是馋她的身子,1
蓝蓝路,,0
苏州科技大学,,0
苏州,苏州科技大学,1
科技大学,苏州科技大学,1
这就是青春,,0
网红体,,0
乒乒乓乓，天下无双,,0
乒乒乓乓,乒乒乓乓，天下无双,1
天下无双,乒乒乓乓，天下无双,1
这位更是重量级,,0
多看空我,,0
这是一场试炼,,0
一场,这是一场试炼,1
试炼,这是一场试炼,1
粉红兔子揪粉红兔子,,0
粉红兔子,粉红兔子揪粉红兔子,1
你搁这搁这呢,,0
steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,,0
steam,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
掌机,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
海绵宝宝,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
加入,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
大乱斗,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
舞蹈,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
惨遭,steam掌机？海绵宝宝加入大乱斗？最近舞蹈区竟惨遭外星人入侵,1
emo,,0
人类高质量男性,,0
人类高质量,人类高质量油物；人类高质量男性；人类高质量男性求偶,3
男性,人类高质量男性；人类高质量男性求偶,2
痛失韩国市场,,0
痛失,痛失韩国市场,1
市场,痛失韩国市场,1
Dame Tu Cosita,,0
下赛季你防詹姆斯,,0
下赛季,下赛季你防詹姆斯,1
詹姆斯,下赛季你防詹姆斯,1
可恶被他装到了,,0
可恶,可恶被他装到了,1
人类高质量油物,,0
大触,,0
重伤倒地,,0
纯狱风,,0
手撕鬼子,,0
14.7分,,0
你们都没有手机吗,,0
手机,你们都没有手机吗,1
你完全不XX是吗,,0
完全,你完全不XX是吗；打开了但是没有完全打开,2
野性消费,,0
六公主,,0
没有任何事能称之为巧合,,0
任何事,没有任何事能称之为巧合,1
能称,没有任何事能称之为巧合,1
巧合,没有任何事能称之为巧合,1
坚持和努力,,0
接地府,,0
传下去,,0
以手册之力击碎主播,,0
手册,以手册之力击碎主播,1
击碎,以手册之力击碎主播；以雷霆击碎黑暗,2
我看不懂，但我大受震撼,,0
拖更云的鹰佐教学,,0
教学,拖更云的鹰佐教学,1
我的很大你忍一下？三句话让男人花18万并不简单？盘点最近网上的哪些梗,,0
很大,我的很大你忍一下；我的很大你忍一下？三句话让男人花18万并不简单？盘点最近网上的哪些梗,2
忍一下,我的很大你忍一下；我的很大你忍一下？三句话让男人花18万并不简单？盘点最近网上的哪些梗,2
三句话,三句话让男人为我花了18万；我的很大你忍一下？三句话让男人花18万并不简单？盘点最近网上的哪些梗,2
网上,我的很大你忍一下？三句话让男人花18万并不简单？盘点最近网上的哪些梗,1
我的很大你忍一下,,0
刘华强买瓜,,0
捡手机文学,,0
这瓜保熟吗,,0
舰长行为,,0
厨,,0
志豪哥,,0
红伞伞白杆杆,,0
红伞伞,红伞伞白杆杆,1
白杆杆,红伞伞白杆杆,1
淄博冠军王喜顺,,0
淄博,淄博冠军王喜顺,1
王喜,淄博冠军王喜顺,1
哦哦哦哦哦哦,,0
马夫迪激情演说,,0
马夫,马夫迪激情演说,1
激情,马夫迪激情演说,1
演说,马夫迪激情演说,1
B站崩了,,0
人类高质量男性求偶,,0
求偶,人类高质量男性求偶,1
I'm gay,,0
你礼貌吗,,0
首先是犯下傲慢之罪,,0
首先,首先是犯下傲慢之罪,1
犯下,首先是犯下傲慢之罪,1
傲慢之罪,首先是犯下傲慢之罪,1
六道轮回是个棒槌,,0
六道轮回,六道轮回是个棒槌,1
棒槌,六道轮回是个棒槌,1
拿来吧你,,0
加把劲骑士,,0
Family,,0
KKSK,,0
侏罗纪老头,,0
oooohhhhhhhhhhh,,0
心情激动表情包的出处是哪里,,0
心情,心情激动表情包的出处是哪里,1
激动,心情激动表情包的出处是哪里,1
出处,心情激动表情包的出处是哪里,1
绝绝子、xx子,,0
葛平是谁,,0
京图,,0
勇敢牛牛不怕困难,,0
怕困难,勇敢牛牛不怕困难,1
索尼已经断气了,,0
索尼,索尼已经断气了,1
断气,索尼已经断气了,1
321开团,,0
吔屎啦，梁非凡,,0
非凡,吔屎啦梁非凡；吔屎啦，梁非凡,2
阿根廷人,,0
外网爆火的三星助手？星战四格梗？今年这E3上又有了,,0
三星,外网爆火的三星助手？星战四格梗？今年这E3上又有了,1
助手,外网爆火的三星助手？星战四格梗？今年这E3上又有了,1
星战,外网爆火的三星助手？星战四格梗？今年这E3上又有了,1
四格,外网爆火的三星助手？星战四格梗？今年这E3上又有了,1
今年,外网爆火的三星助手？星战四格梗？今年这E3上又有了,1
E3,外网爆火的三星助手？星战四格梗？今年这E3上又有了,1
躬匠精神,,0
爱尔兰酒局笑话,,0
爱尔兰,爱尔兰酒局笑话,1
酒局,爱尔兰酒局笑话,1
笑话,爱尔兰酒局笑话,1
考试周破防,,0
热爱105℃的你,,0
敌羞吾去脱她衣,,0
8700万的青眼白龙,,0
青眼,8700万的青眼白龙,1
白龙,8700万的青眼白龙,1
S代表着什么,,0
美有姬,,0
纪昆荣耀,,0
两老外对骂丢凳子,,0
两老,两老外对骂丢凳子,1
对骂,两老外对骂丢凳子,1
凳子,两老外对骂丢凳子,1
官方认证汉奸,,0
官方,官方认证汉奸,1
认证,官方认证汉奸,1
汉奸,官方认证汉奸,1
为了让世界更好对吧,,0
更好,为了让世界更好对吧,1
任天堂就是世界的主宰,,0
任天堂,任天堂就是世界的主宰,1
主宰,任天堂就是世界的主宰,1
YYDS,,0
假面骑士的末日到了,,0
末日,假面骑士的末日到了,1
蜜雪冰城甜蜜蜜,,0
蜜雪冰城,蜜雪冰城主题曲；蜜雪冰城甜蜜蜜,2
甜蜜蜜,蜜雪冰城甜蜜蜜,1
聪油饼,,0
聪语,,0
气突苏,,0
藏狐？背后灵？为什么这个人就和水猴子过不去了,,0
背后,藏狐？背后灵？为什么这个人就和水猴子过不去了,1
水猴子,藏狐？背后灵？为什么这个人就和水猴子过不去了,1
过不去,藏狐？背后灵？为什么这个人就和水猴子过不去了,1
大清亡了,,0
一芒、一爽,,0
蜜雪冰城主题曲,,0
主题曲,蜜雪冰城主题曲,1
钓鱼佬永不空军,,0
钓鱼,钓鱼佬永不空军,1
空军,钓鱼佬永不空军,1
吴京中国,,0
阿嘿哈,,0
C罗,,0
采访第一个出考场的XX,,0
让子弹飞申遗,,0
子弹飞,让子弹飞申遗,1
申遗,让子弹飞申遗,1
索隆十字架,,0
玉玉寡欢、藏狐,,0
寡欢,玉玉寡欢、藏狐,1
速通阿伟,,0
三句话让男人为我花了18万,,0
以雷霆击碎黑暗,,0
雷霆,以雷霆击碎黑暗,1
黑暗,以雷霆击碎黑暗,1
贵州和广西相比,,0
贵州,贵州和广西相比,1
广西,贵州和广西相比,1
相比,贵州和广西相比,1
躺平,,0
吸血鬼夫人有,,0
吸血鬼,吸血鬼夫人有,1
夫人,吸血鬼夫人有,1
天天鉴刑,,0
哈,,0
肌肉金轮,,0
夹子,,0
性格主导色,,0
这腿我能玩一年,,0
能玩,这腿我能玩一年,1
一年,这腿我能玩一年,1
天临时代,,0
蓝衣战神,,0
本斥但多,,0
233,,0
我很不安,,0
cheems,,0
星野源贴头,,0
汪汪队立大功,,0
汪汪,汪汪队立大功,1
立大功,汪汪队立大功,1
反戏精黑人小哥,,0
戏精,反戏精黑人小哥,1
曹县,,0
鹿哥喜提二手车,,0
二手车,鹿哥喜提二手车,1
三点几饮茶,,0
藏狐耍双节棍,,0
双节棍,藏狐耍双节棍,1
既然提到了privilege,,0
我们的游戏正在蒸蒸日上,,0
蒸蒸日上,我们的游戏正在蒸蒸日上,1
你能再表演一下那个吗,,0
能再,你能再表演一下那个吗,1
表演,你能再表演一下那个吗,1
一下,你能再表演一下那个吗,1
我来组成头部,,0
来组成头部,我来组成头部,1
独步，我的超人,,0
独步,独步，我的超人,1
一旦接受了这种设定,,0
一旦,一旦接受了这种设定,1
接受,一旦接受了这种设定,1
设定,一旦接受了这种设定,1
饮茶先,,0
毕竟老夫也不是什么恶魔,,0
毕竟,毕竟老夫也不是什么恶魔,1
老夫,毕竟老夫也不是什么恶魔,1
恶魔,毕竟老夫也不是什么恶魔,1
rerorero,,0
其他人做得到吗,,0
其他人,其他人做得到吗,1
做得,其他人做得到吗,1
两面包夹芝士,,0
两面,两面包夹芝士,1
包夹,两面包夹芝士,1
变了啊啊啊啊啊,,0
用爱发电,蕾某人用爱发电,1
厨力放出,,0
逐渐迪化,,0
元首的愤怒,,0
Niconiconi,,0
绅士,,0
为什么你这么熟练啊,,0
熟练,为什么你这么熟练啊,1
xx是一款我的问题,,0
一款,xx是一款我的问题,1
问题,xx是一款我的问题,1
这使你充满了决心,,0
充满,这使你充满了决心,1
决心,这使你充满了决心,1
你脸红个泡泡茶壶,,0
脸红,你脸红个泡泡茶壶,1
泡泡,你脸红个泡泡茶壶,1
茶壶,你脸红个泡泡茶壶,1
建议拉去通渠,,0
建议,建议拉去通渠,1
拉去,建议拉去通渠,1
潘嘎之交,,0
尸体在说话,,0
M1917美国制史密斯维森,,0
M1917,M1917美国制史密斯维森,1
美国制,M1917美国制史密斯维森,1
维森,M1917美国制史密斯维森,1
是洋葱，我加了洋葱,,0
洋葱,是洋葱，我加了洋葱,1
但我的痛苦在你之上,,0
之上,但我的痛苦在你之上,1
真有你们的啊SE,,0
SE,真有你们的啊SE,1
我就是玩儿体,,0
玩儿,我就是玩儿体,1
亿点点,,0
艺术就是爆炸,,0
如果快乐太难，那我祝你平安,,0
快乐太难,如果快乐太难，那我祝你平安,1
祝你平安,如果快乐太难，那我祝你平安,1
心疼哥哥,,0
什么是快乐星球,,0
什么是快乐,什么是快乐星球,1
星球,什么是快乐星球,1
吾辈楷模,,0
山东菏泽曹县牛逼666,,0
山东菏泽曹县,山东菏泽曹县牛逼666,1
牛逼,山东菏泽曹县牛逼666,1
情比金坚七天锁,,0
情比金坚,情比金坚七天锁,1
七天,情比金坚七天锁,1
震撼我妈,,0
前列腺刹车,,0
你是GG还是MM,,0
谷歌生草器,,0
今天的b站就逛到这里吧,,0
今天,今天的b站就逛到这里吧,1
诸君，我好兴奋啊,,0
诸君,诸君，我好兴奋啊,1
兴奋,诸君，我好兴奋啊,1
喷射战士,,0
无能狂怒,,0
大人时代变了,,0
脚只是装饰而已,,0
装饰,脚只是装饰而已,1
谁也不会受伤的世界完成了,,0
会受,谁也不会受伤的世界完成了,1
完成,谁也不会受伤的世界完成了,1
打开了但是没有完全打开,,0
打开,打开了但是没有完全打开,1
我柜子动了,,0
directed by robert b weide,,0
吃席,,0
猴山,,0
连我爸爸都没打过我,,0
打过,连我爸爸都没打过我,1
我们三个太强了,,0
打入四强就算成功,,0
打入,打入四强就算成功,1
四强,打入四强就算成功,1
算成,打入四强就算成功,1
Q宝,,0
杰哥不要啊,,0
纯爱战神,,0
御三家,,0
后撤步,,0
都是时臣的错,,0
没有那种世俗的欲望,,0
世俗,没有那种世俗的欲望,1
欲望,没有那种世俗的欲望,1
罗老师别这样,,0
罗老师,罗老师别这样,1
别这样,罗老师别这样,1
XX指导：XX,,0
世界线收束,,0
内卷,,0
种豆得瓜,,0
prpr呸喽呸喽,,0
危,,0
如果奇迹有颜色，那一定是橙色,,0
奇迹,如果奇迹有颜色，那一定是橙色,1
颜色,如果奇迹有颜色，那一定是橙色,1
橙色,如果奇迹有颜色，那一定是橙色,1
橘里橘气,,0
握着我的抱枕,,0
抱枕,握着我的抱枕,1
梗小鬼,,0
差不多得了,,0
夺笋呐,,0
Nice Boat,,0
接头霸王,,0
DD斩首,,0
橙色正义,,0
清朝老兵,,0
星际玩家,,0
贴贴,,0
谢谢你，Cheems,,0
Surprise Motherfucker,,0
前方高能,,0
天空是蔚蓝色，窗外有千纸鹤,,0
天空,天空是蔚蓝色，窗外有千纸鹤,1
蔚蓝色,天空是蔚蓝色，窗外有千纸鹤,1
窗外,天空是蔚蓝色，窗外有千纸鹤,1
千纸鹤,天空是蔚蓝色，窗外有千纸鹤,1
好耶,,0
逮虾户,,0
越共探头,,0
双厨狂喜,,0
梗警察,,0
快按住老虚,,0
san值,,0
莱纳你坐啊,,0
收手吧xx，外面都是xx,,0
收手,收手吧xx，外面都是xx,1
Swole Doge vs Crying Cheems,,0
电脑配件,,0
鸭子,,0
吔屎啦梁非凡,,0
卡其脱离太,,0
冬冠赛场上那些“一诺行为”到底,,0
赛场上,冬冠赛场上那些“一诺行为”到底,1
一诺,冬冠赛场上那些“一诺行为”到底,1
印尼电信广告IndiHome Paket Phoenix,,0
印尼,印尼电信广告IndiHome Paket Phoenix,1
电信,印尼电信广告IndiHome Paket Phoenix,1
广告,印尼电信广告IndiHome Paket Phoenix,1
IndiHome Paket Phoenix,印尼电信广告IndiHome Paket Phoenix,1
rick roll,,0
山本我日你仙人,,0
山本,山本我日你仙人,1
危险发型,,0
摇头三人组,,0
摇摆羊,,0
嗨~老婆,,0
creeper,,0
抓鸭子,,0
黄毛,,0
听懂掌声,,0
竹节虫get stick bugged lol,,0
懂得都懂,,0
吃个快餐,,0
坎油踹,,0
ohhhhh,,0
到二仙桥走成华大道,,0
二仙桥,到二仙桥走成华大道,1
成华大道,到二仙桥走成华大道,1
"高情商,低情商",,0
高情商,"高情商,低情商",1
低情商,"高情商,低情商",1
小丑竟是我自己,,0
竟是我自己,小丑竟是我自己,1
大鸟转转转,,0
卧龙凤雏,,0
要啥自行车,,0
这不比博人传燃吗,,0
博人传,这不比博人传燃吗,1
教练我想学XX,,0
popo猫,,0
赛博朋克,,0
猪肝酱,,0
捡肥皂,,0
你kin你擦,,0
草,,0
向你敬礼啊salute,,0
梁志超他奶奶,,0
梁志超,梁志超他奶奶,1
战术后仰,,0
我们都有光明的前途,,0
光明的前途,我们都有光明的前途,1
反复横跳,,0
芜湖,,0
KY,,0
人类还有希望吗,,0
希望,人类还有希望吗,1
马自达会堵路上,,0
马自达,马自达会堵路上,1
堵路上,马自达会堵路上,1
凡尔赛文学,,0
这是在干什么,,0
在干什么,这是在干什么,1
那一刻他变成了光,,0
变成了光,那一刻他变成了光,1
退票姐,,0
标准结局,,0
街头法则,,0
